"","area","use_of_elec","use_of_gas","average_hour","GHG","operation_type"
"117",5952,126930.613062,0,100,5077.22452248,"Community Centres"
"118",26318,444956.910293,41096.107097,100,95868.1401028199,"Community Centres"
"119",22152,213957.994732,36209.092868,100,77344.3714196909,"Community Centres"
"120",5780,196534.232867,21473.604057,100,48654.5602057223,"Community Centres"
"121",1389,61310.5975,1051.093333,100,4449.17539376677,"Community Centres"
"122",35123,568270.350726,86897.387097,100,187808.91132334,"Community Centres"
"123",32270,324867.28795,32398.878432,100,74542.5168864861,"Community Centres"
"124",45262,1039656.63047,36677.045455,100,111261.281699209,"Community Centres"
"125",3003,52765.719395,4727.622021,100,11091.6450528735,"Community Centres"
"126",3025,67207.256507,0,100,2688.29026028,"Community Centres"
"127",5296,69120.443922,0,100,2764.81775688,"Community Centres"
"128",74820,1506211.361322,151936.231556,100,348880.194177498,"Community Centres"
"129",10473,163594.31258,11355.504877,100,28115.7115629881,"Community Centres"
"130",36167,352216.56947,49252.439035,100,107653.028689199,"Community Centres"
"131",16254,213299.403401,35934.454811,100,76796.3005959486,"Community Centres"
"132",10000,177573.77425,18661.595277,100,42554.1969017641,"Community Centres"
"133",18600,277276.732527,28131.153871,100,64531.54099828,"Community Centres"
"134",9451,224147.361103,24144.9,100,54833.71952512,"Community Centres"
"135",19978,423340.8,21380.124143,100,57549.2400332157,"Community Centres"
"136",5737,357252.165,0,100,14290.0866,"Community Centres"
"137",17061,150226.070667,0,100,6009.04282668,"Community Centres"
"138",55004,809998.376097,3725.477823,100,39477.1880094549,"Community Centres"
"139",6168,32760.774316,0,100,1310.43097264,"Community Centres"
"140",46694,988592.842032,123554.451677,100,274258.86998756,"Community Centres"
"141",58125,1127534.244387,83651.600205,100,204013.478168916,"Community Centres"
"142",3046,130031.957144,0,100,5201.27828576,"Community Centres"
"143",9408,164435.489647,0,100,6577.41958588,"Community Centres"
"144",7341,36388.996561,8080.579194,100,16806.1553514899,"Community Centres"
"145",41904,825809.715162,200732.434515,100,414361.78713028,"Community Centres"
"146",46113,928306.366935,268136.267159,100,546508.040036681,"Community Centres"
"147",12895,183317.54363,29555.421091,100,63478.8396375618,"Community Centres"
"148",43701,537589.282658,65282.239902,100,145519.58962575,"Community Centres"
"149",2250,52743.679835,0,100,2109.7471934,"Community Centres"
"150",14402,131501.285599,0,100,5260.05142396,"Community Centres"
"151",5188,53144.352685,4541.755161,100,10753.7009692001,"Community Centres"
"152",28546,779316.245714,0,100,31172.64982856,"Community Centres"
"153",44810,361948.298474,89689.490833,100,184860.160779502,"Community Centres"
"154",25995,445227.303871,20723.344522,100,57177.0225098382,"Community Centres"
"155",123214,1229059.584552,72711.126538,100,187290.983355053,"Community Centres"
"156",24402,194845.915538,39838.749226,100,83475.1101386599,"Community Centres"
"157",25198,280102.801853,122583.194148,100,244074.180165134,"Community Centres"
"158",61214,850405.151064,187895.647647,168,390959.688921089,"Fire Stations"
"159",3272,27162.980209,14726.047279,168,29061.4439638035,"Fire Stations"
"160",5662,97582.947918,26974.898817,168,55147.2634503867,"Fire Stations"
"161",7018,219120.396562,33159.904556,168,71758.3549484676,"Fire Stations"
"162",4833,85876.393998,17509.438621,168,36697.5612138475,"Fire Stations"
"163",8633,205237.391635,36988.765512,168,78476.6836208913,"Fire Stations"
"164",5985,128140.477468,14609.62069,168,32879.3694273061,"Fire Stations"
"165",11776,173794.064243,21261.493137,168,47342.0084671475,"Fire Stations"
"166",4219,123021.902934,3728.830199,168,12004.4975580983,"Fire Stations"
"167",3046,55011.332467,17578.00067,168,35593.2053914723,"Fire Stations"
